paperid,SDG_label,applies_to_SDG,link
2376362699,SDG_13,,https://academic.microsoft.com/paper/2376362699
2382384934,SDG_13,,https://academic.microsoft.com/paper/2382384934
2375319643,SDG_13,,https://academic.microsoft.com/paper/2375319643
2103009057,SDG_13,,https://academic.microsoft.com/paper/2103009057
2767028315,SDG_13,,https://academic.microsoft.com/paper/2767028315
2150592731,SDG_13,,https://academic.microsoft.com/paper/2150592731
2128324678,SDG_13,,https://academic.microsoft.com/paper/2128324678
2037968405,SDG_13,,https://academic.microsoft.com/paper/2037968405
2904362479,SDG_13,,https://academic.microsoft.com/paper/2904362479
1490762852,SDG_13,,https://academic.microsoft.com/paper/1490762852
2973204296,SDG_13,,https://academic.microsoft.com/paper/2973204296
2113032783,SDG_13,,https://academic.microsoft.com/paper/2113032783
2095090069,SDG_13,,https://academic.microsoft.com/paper/2095090069
2398555746,SDG_13,,https://academic.microsoft.com/paper/2398555746
2617953481,SDG_13,,https://academic.microsoft.com/paper/2617953481
2382747765,SDG_13,,https://academic.microsoft.com/paper/2382747765
2159078816,SDG_13,,https://academic.microsoft.com/paper/2159078816
2299412117,SDG_13,,https://academic.microsoft.com/paper/2299412117
2090367800,SDG_13,,https://academic.microsoft.com/paper/2090367800
1970250093,SDG_13,,https://academic.microsoft.com/paper/1970250093
2625186906,SDG_13,,https://academic.microsoft.com/paper/2625186906
2940439021,SDG_13,,https://academic.microsoft.com/paper/2940439021
2101692569,SDG_13,,https://academic.microsoft.com/paper/2101692569
2288631100,SDG_13,,https://academic.microsoft.com/paper/2288631100
2127753959,SDG_13,,https://academic.microsoft.com/paper/2127753959
2006491089,SDG_13,,https://academic.microsoft.com/paper/2006491089
2234906181,SDG_13,,https://academic.microsoft.com/paper/2234906181
2061409216,SDG_13,,https://academic.microsoft.com/paper/2061409216
3010841383,SDG_13,,https://academic.microsoft.com/paper/3010841383
2084091917,SDG_13,,https://academic.microsoft.com/paper/2084091917
2461150229,SDG_13,,https://academic.microsoft.com/paper/2461150229
2059467468,SDG_13,,https://academic.microsoft.com/paper/2059467468
2006583950,SDG_13,,https://academic.microsoft.com/paper/2006583950
2973523334,SDG_2,,https://academic.microsoft.com/paper/2973523334
2377798167,SDG_2,,https://academic.microsoft.com/paper/2377798167
2035756756,SDG_2,,https://academic.microsoft.com/paper/2035756756
1999634273,SDG_2,,https://academic.microsoft.com/paper/1999634273
2139532320,SDG_2,,https://academic.microsoft.com/paper/2139532320
2403981154,SDG_2,,https://academic.microsoft.com/paper/2403981154
2995157820,SDG_2,,https://academic.microsoft.com/paper/2995157820
2113904617,SDG_2,,https://academic.microsoft.com/paper/2113904617
1983345003,SDG_2,,https://academic.microsoft.com/paper/1983345003
2086465426,SDG_2,,https://academic.microsoft.com/paper/2086465426
2048003513,SDG_2,,https://academic.microsoft.com/paper/2048003513
1553605043,SDG_2,,https://academic.microsoft.com/paper/1553605043
1976316968,SDG_2,,https://academic.microsoft.com/paper/1976316968
2163505099,SDG_2,,https://academic.microsoft.com/paper/2163505099
2803928358,SDG_2,,https://academic.microsoft.com/paper/2803928358
2024847959,SDG_2,,https://academic.microsoft.com/paper/2024847959
2046286729,SDG_2,,https://academic.microsoft.com/paper/2046286729
2057134144,SDG_2,,https://academic.microsoft.com/paper/2057134144
64088872,SDG_2,,https://academic.microsoft.com/paper/64088872
1971152207,SDG_2,,https://academic.microsoft.com/paper/1971152207
2089284368,SDG_2,,https://academic.microsoft.com/paper/2089284368
2802920047,SDG_2,,https://academic.microsoft.com/paper/2802920047
2380690733,SDG_2,,https://academic.microsoft.com/paper/2380690733
2727822106,SDG_2,,https://academic.microsoft.com/paper/2727822106
1860952951,SDG_2,,https://academic.microsoft.com/paper/1860952951
2962777337,SDG_2,,https://academic.microsoft.com/paper/2962777337
2038203545,SDG_2,,https://academic.microsoft.com/paper/2038203545
1905614032,SDG_2,,https://academic.microsoft.com/paper/1905614032
2735374831,SDG_2,,https://academic.microsoft.com/paper/2735374831
2067675773,SDG_2,,https://academic.microsoft.com/paper/2067675773
2884859864,SDG_2,,https://academic.microsoft.com/paper/2884859864
1987544098,SDG_2,,https://academic.microsoft.com/paper/1987544098
2149199641,SDG_2,,https://academic.microsoft.com/paper/2149199641
1601675023,SDG_3,,https://academic.microsoft.com/paper/1601675023
2378616289,SDG_3,,https://academic.microsoft.com/paper/2378616289
2137825147,SDG_3,,https://academic.microsoft.com/paper/2137825147
1771729232,SDG_3,,https://academic.microsoft.com/paper/1771729232
2038985330,SDG_3,,https://academic.microsoft.com/paper/2038985330
1975182165,SDG_3,,https://academic.microsoft.com/paper/1975182165
2557751294,SDG_3,,https://academic.microsoft.com/paper/2557751294
2069728466,SDG_3,,https://academic.microsoft.com/paper/2069728466
2605612693,SDG_3,,https://academic.microsoft.com/paper/2605612693
2976608006,SDG_3,,https://academic.microsoft.com/paper/2976608006
2086215834,SDG_3,,https://academic.microsoft.com/paper/2086215834
2089241724,SDG_3,,https://academic.microsoft.com/paper/2089241724
2364322543,SDG_3,,https://academic.microsoft.com/paper/2364322543
1650850593,SDG_3,,https://academic.microsoft.com/paper/1650850593
2607848884,SDG_3,,https://academic.microsoft.com/paper/2607848884
2144813707,SDG_3,,https://academic.microsoft.com/paper/2144813707
2377149390,SDG_3,,https://academic.microsoft.com/paper/2377149390
2409233038,SDG_3,,https://academic.microsoft.com/paper/2409233038
2914890006,SDG_3,,https://academic.microsoft.com/paper/2914890006
2405383827,SDG_3,,https://academic.microsoft.com/paper/2405383827
2095711176,SDG_3,,https://academic.microsoft.com/paper/2095711176
1598645197,SDG_3,,https://academic.microsoft.com/paper/1598645197
2153008343,SDG_3,,https://academic.microsoft.com/paper/2153008343
2325119747,SDG_3,,https://academic.microsoft.com/paper/2325119747
2119860038,SDG_3,,https://academic.microsoft.com/paper/2119860038
2081917535,SDG_3,,https://academic.microsoft.com/paper/2081917535
2758951321,SDG_3,,https://academic.microsoft.com/paper/2758951321
2330552291,SDG_3,,https://academic.microsoft.com/paper/2330552291
2009184436,SDG_3,,https://academic.microsoft.com/paper/2009184436
2317486549,SDG_3,,https://academic.microsoft.com/paper/2317486549
2326149393,SDG_3,,https://academic.microsoft.com/paper/2326149393
2004601662,SDG_3,,https://academic.microsoft.com/paper/2004601662
2360944490,SDG_3,,https://academic.microsoft.com/paper/2360944490
1979397694,SDG_3,,https://academic.microsoft.com/paper/1979397694
