affiliationid,normalizedname,displayname,university_normalized,University,Country
2800306684,acton institute,Acton Institute,acton institute,NA,NA
2800333337,san francisco fire department,San Francisco Fire Department,san francisco fire department,NA,NA
2800374817,virginia information technologies agency,Virginia Information Technologies Agency,virginia information technologies agency,NA,NA
2800478591,gauteng department of agriculture and rural development,Gauteng Department of Agriculture and Rural Development,gauteng department of agriculture and rural development,NA,NA
2800507078,university of alabama system,University of Alabama System,university of alabama system,NA,NA
2800719740,american association of clinical endocrinologists,American Association of Clinical Endocrinologists,american association of clinical endocrinologists,NA,NA
2800762414,algebra project,Algebra Project,algebra project,NA,NA
2801070256,east arkansas community college,East Arkansas Community College,east arkansas community college,NA,NA
2801131043,ranken technical college,Ranken Technical College,ranken technical college,NA,NA
2801466140,intergovernmental panel on climate change,Intergovernmental Panel on Climate Change,intergovernmental panel on climate change,NA,NA
2801517398,islamic university college,Islamic University College,islamic university college,NA,NA
2801527043,federation internationale de football association,Fédération Internationale de Football Association,federation internationale de football association,NA,NA
2801777978,parapsychology foundation,Parapsychology Foundation,parapsychology foundation,NA,NA
2801859581,oita junior college,Oita Junior College,oita junior college,NA,NA
2802348453,university system of taiwan,University System of Taiwan,university system of taiwan,NA,NA
2802425105,south mountain community college,South Mountain Community College,south mountain community college,NA,NA
2802669724,china graduate school of theology,China Graduate School of Theology,china graduate school of theology,NA,NA
2802690124,sydney water,Sydney Water,sydney water,NA,NA
2802692085,american cryonics society,American Cryonics Society,american cryonics society,NA,NA
2802726678,gaustad hospital,Gaustad Hospital,gaustad hospital,NA,NA
2802961082,cwm taf university health board,Cwm Taf University Health Board,cwm taf university health board,NA,NA
2803065428,thammasat university hospital,Thammasat University Hospital,thammasat university hospital,NA,NA
675453,vorarlberg university of applied sciences,Vorarlberg University of Applied Sciences,vorarlberg university of applied sciences,NA,NA
12132619,wake forest institute for regenerative medicine,Wake Forest Institute for Regenerative Medicine,wake forest institute for regenerative medicine,NA,NA
31383365,agr,AGR,agr,NA,NA
39804227,avio,Avio,avio,NA,NA
44449439,dr mahalingam college of engineering and technology,Dr. Mahalingam College of Engineering and Technology,dr. mahalingam college of engineering and technology,NA,NA
44677085,buhler ag,Bühler AG,buhler ag,NA,NA
44852757,liverpool hope university,Liverpool Hope University,liverpool hope university,NA,NA
46020346,american institute of aeronautics and astronautics,American Institute of Aeronautics and Astronautics,american institute of aeronautics and astronautics,NA,NA
52719799,blekinge institute of technology,Blekinge Institute of Technology,blekinge institute of technology,NA,NA
57913696,istanbul medeniyet university,Istanbul Medeniyet University,istanbul medeniyet university,NA,NA
66655595,mercy health partners,Mercy Health Partners,mercy health partners,NA,NA
71461249,bird bird,Bird & Bird,bird & bird,NA,NA
77501641,kalyani government engineering college,Kalyani Government Engineering College,kalyani government engineering college,NA,NA
82942787,air corps,Air Corps,air corps,NA,NA
84593992,national university of colombia at manizales,National University of Colombia at Manizales,national university of colombia at manizales,NA,NA
85459889,galapagos genomics,Galapagos Genomics,galapagos genomics,NA,NA
88569485,anna maria college,Anna Maria College,anna maria college,NA,NA
90425591,free university of colombia,Free University of Colombia,free university of colombia,NA,NA
95850191,moss landing marine laboratories,Moss Landing Marine Laboratories,moss landing marine laboratories,NA,NA
103890011,shenyang pharmaceutical university,Shenyang Pharmaceutical University,shenyang pharmaceutical university,Shenyang Pharmaceutical University,China
108694102,ubm plc,UBM plc,ubm plc,NA,NA
110200422,universidade federal de minas gerais,Universidade Federal de Minas Gerais,universidade federal de minas gerais,Universidade Federal de Minas Gerais,Brazil
110325482,eastern kentucky university,Eastern Kentucky University,eastern kentucky university,NA,NA
114838220,niigata university of pharmacy and applied life sciences,Niigata University of Pharmacy and Applied Life Sciences,niigata university of pharmacy and applied life sciences,NA,NA
115980683,oriental institute of technology,Oriental Institute of Technology,oriental institute of technology,NA,NA
118136607,general motors,General Motors,general motors,NA,NA
119025939,shahed university,Shahed University,shahed university,NA,NA
125680101,the turing institute,The Turing Institute,the turing institute,NA,NA
127593952,mes college of engineering,MES College of Engineering,mes college of engineering,NA,NA
137725305,international union of geological sciences,International Union of Geological Sciences,international union of geological sciences,NA,NA
138804964,national institute for basic biology japan,"National Institute for Basic Biology, Japan","national institute for basic biology, japan",NA,NA
140293409,shumei university,Shumei University,shumei university,NA,NA
140552582,libera,Libera!,libera!,NA,NA
141714071,artesis hogeschool antwerpen,Artesis Hogeschool Antwerpen,artesis hogeschool antwerpen,NA,NA
150653062,magna international,Magna International,magna international,NA,NA
160992636,toyota technological institute at chicago,Toyota Technological Institute at Chicago,toyota technological institute at chicago,NA,NA
172825728,deutscher wetterdienst,Deutscher Wetterdienst,deutscher wetterdienst,NA,NA
174678184,semantic web company,Semantic Web Company,semantic web company,NA,NA
181714291,open university of sri lanka,Open University of Sri Lanka,open university of sri lanka,NA,NA
190930483,kyorin university,Kyorin University,kyorin university,NA,NA
191114373,university of wisconsin stevens point,University of Wisconsin–Stevens Point,university of wisconsin-stevens point,NA,NA
191661494,canadian university college,Canadian University College,canadian university college,NA,NA
192389796,humboldt state university,Humboldt State University,humboldt state university,NA,NA
195608997,dar es salaam institute of technology,Dar es Salaam Institute of Technology,dar es salaam institute of technology,NA,NA
196817621,carnegie institution for science,Carnegie Institution for Science,carnegie institution for science,NA,NA
200207707,homi bhabha national institute,Homi Bhabha National Institute,homi bhabha national institute,NA,NA
201925371,milwaukee downer college,Milwaukee-Downer College,milwaukee-downer college,NA,NA
208062643,huron consulting group,Huron Consulting Group,huron consulting group,NA,NA
208086522,national university of life and environmental sciences of ukraine,National University of Life and Environmental Sciences of Ukraine,national university of life and environmental sciences of ukraine,NA,NA
211887122,southern maine community college,Southern Maine Community College,southern maine community college,NA,NA
218132089,dumkal college,Dumkal College,dumkal college,NA,NA
228546101,royal australian and new zealand college of obstetricians and gynaecologists,Royal Australian and New Zealand College of Obstetricians and Gynaecologists,royal australian and new zealand college of obstetricians and gynaecologists,NA,NA
240042149,abdelmalek essaâdi university,Abdelmalek Essaâdi University,abdelmalek essaadi university,NA,NA
269685040,koszalin university of technology,Koszalin University of Technology,koszalin university of technology,NA,NA
327500432,umaru musa yar adua university,Umaru Musa Yar'adua University,umaru musa yar'adua university,NA,NA
860802082,intelligent actuator,Intelligent Actuator,intelligent actuator,NA,NA
863848271,sherman college of chiropractic,Sherman College of Chiropractic,sherman college of chiropractic,NA,NA
865317751,michigan career and technical institute,Michigan Career and Technical Institute,michigan career and technical institute,NA,NA
869669775,etech inc,"Etech, Inc.","etech, inc.",NA,NA
873641270,international judo federation,International Judo Federation,international judo federation,NA,NA
874609350,jean moulin university lyon 3,Jean Moulin University Lyon 3,jean moulin university lyon 3,NA,NA
889452449,assia,ASSIA,assia,NA,NA
907401634,highline college,Highline College,highline college,NA,NA
908531865,icm partners,ICM Partners,icm partners,NA,NA
933254369,nest labs,Nest Labs,nest labs,NA,NA
1284637499,ministry of livestock fisheries and rural development,"Ministry of Livestock, Fisheries and Rural Development","ministry of livestock, fisheries and rural development",NA,NA
1293309919,national board of medical examiners,National Board of Medical Examiners,national board of medical examiners,NA,NA
1294613384,era aviation,Era Aviation,era aviation,NA,NA
1294645543,mt washington pediatric hospital,Mt. Washington Pediatric Hospital,mt. washington pediatric hospital,NA,NA
1302113299,babraham institute,Babraham Institute,babraham institute,NA,NA
1303372631,wallace collection,Wallace Collection,wallace collection,NA,NA
1308524746,ministry of finance of the czech republic,Ministry of Finance of the Czech Republic,ministry of finance of the czech republic,NA,NA
1314361725,buffalo museum of science,Buffalo Museum of Science,buffalo museum of science,NA,NA
1328987279,new jersey department of corrections,New Jersey Department of Corrections,new jersey department of corrections,NA,NA
1330948177,aed,AED,aed,NA,NA
1331103846,aricent,Aricent,aricent,NA,NA
1333904770,sensa,Sensa,sensa,NA,NA
1334377332,healthcare commission,Healthcare Commission,healthcare commission,NA,NA
1343035065,united states department of commerce,United States Department of Commerce,united states department of commerce,NA,NA
2799770396,paul university awka,Paul University Awka,paul university awka,NA,NA
2799772276,information and communication technology agency,Information and Communication Technology Agency,information and communication technology agency,NA,NA
2800020405,baku higher oil school,Baku Higher Oil School,baku higher oil school,NA,NA
2800102073,cecilia makiwane hospital,Cecilia Makiwane Hospital,cecilia makiwane hospital,NA,NA
2800228904,caltech submillimeter observatory,Caltech Submillimeter Observatory,caltech submillimeter observatory,NA,NA
2800280925,cleveland museum of natural history,Cleveland Museum of Natural History,cleveland museum of natural history,NA,NA
2800419965,center for the advancement of science in space,Center for the Advancement of Science in Space,center for the advancement of science in space,NA,NA
2800670452,bureau of educational and cultural affairs,Bureau of Educational and Cultural Affairs,bureau of educational and cultural affairs,NA,NA
2801155476,entrepreneurship development institute of india,Entrepreneurship Development Institute of India,entrepreneurship development institute of india,NA,NA
2801342896,directorate of groundnut research,Directorate of Groundnut Research,directorate of groundnut research,NA,NA
2801466181,el centro college,El Centro College,el centro college,NA,NA
2801479458,engineering school of information and digital technologies,Engineering School of Information and Digital Technologies,engineering school of information and digital technologies,NA,NA
2801594805,university kebangsaan malaysia medical centre,University Kebangsaan Malaysia Medical Centre,university kebangsaan malaysia medical centre,NA,NA
2801662971,ankara sosyal bilimler universitesi,Ankara Sosyal Bilimler Üniversitesi,ankara sosyal bilimler universitesi,NA,NA
2801756453,northwest christian university,Northwest Christian University,northwest christian university,NA,NA
2801763162,dorothea dix hospital,Dorothea Dix Hospital,dorothea dix hospital,NA,NA
2801774610,angelina college,Angelina College,angelina college,NA,NA
2801853235,tianjin academy of fine arts,Tianjin Academy of Fine Arts,tianjin academy of fine arts,NA,NA
2802003475,japan agency for medical research and development,Japan Agency for Medical Research and Development,japan agency for medical research and development,NA,NA
2802138069,mohamed bin zayed species conservation fund,Mohamed Bin Zayed Species Conservation Fund,mohamed bin zayed species conservation fund,NA,NA
2802231754,nalsar university of law,Nalsar University of Law,nalsar university of law,NA,NA
2802353815,university hospital complex of vigo,University Hospital Complex Of Vigo,university hospital complex of vigo,NA,NA
2802580895,florida hospital celebration health,Florida Hospital Celebration Health,florida hospital celebration health,NA,NA
2802742261,herzog college,Herzog College,herzog college,NA,NA
2802783220,coahoma community college,Coahoma Community College,coahoma community college,NA,NA
2802787097,white earth tribal and community college,White Earth Tribal and Community College,white earth tribal and community college,NA,NA
2802899753,crichton royal hospital,Crichton Royal Hospital,crichton royal hospital,NA,NA
2802907600,pharmacy and poisons board,Pharmacy and Poisons Board,pharmacy and poisons board,NA,NA
2803092234,thailand graduate institute of science and technology,Thailand Graduate Institute of Science and Technology,thailand graduate institute of science and technology,NA,NA
2855330654,seiwa gakuen college,Seiwa Gakuen College,seiwa gakuen college,NA,NA
2917470387,japanese american citizens league,Japanese American Citizens League,japanese american citizens league,NA,NA
2944424493,polytechnic institute of santarem,Polytechnic Institute of Santarém,polytechnic institute of santarem,NA,NA
1192164,federal counterintelligence service,Federal Counterintelligence Service,federal counterintelligence service,NA,NA
4588055,tottori university,Tottori University,tottori university,Tottori University,Japan
12607205,hogeschool gent,Hogeschool Gent,hogeschool gent,NA,NA
13236232,tobb university of economics and technology,TOBB University of Economics and Technology,tobb university of economics and technology,NA,NA
13985625,east china jiaotong university,East China Jiaotong University,east china jiaotong university,NA,NA
14994632,marshall university south charleston campus,Marshall University – South Charleston Campus,marshall university - south charleston campus,NA,NA
25243094,babcock wilcox,Babcock & Wilcox,babcock & wilcox,NA,NA
26120043,ochanomizu university,Ochanomizu University,ochanomizu university,NA,NA
28490864,dso national laboratories,DSO National Laboratories,dso national laboratories,NA,NA
34614084,daytona state college,Daytona State College,daytona state college,NA,NA
43207982,veolia environnement,Veolia Environnement,veolia environnement,NA,NA
44260953,university of dusseldorf,University of Düsseldorf,university of dusseldorf,NA,NA
45279040,national university of colombia at medellin,National University of Colombia at Medellín,national university of colombia at medellin,NA,NA
47449453,kean university,Kean University,kean university,NA,NA
47910701,vmware,VMware,vmware,NA,NA
48620495,zhejiang medical university,Zhejiang Medical University,zhejiang medical university,NA,NA
49611733,uk astronomy technology centre,UK Astronomy Technology Centre,uk astronomy technology centre,NA,NA
57210546,european centre for disease prevention and control,European Centre for Disease Prevention and Control,european centre for disease prevention and control,NA,NA
63072094,university of portsmouth,University of Portsmouth,university of portsmouth,University of Portsmouth,United Kingdom
63618260,chhatrapati shivaji institute of technology,Chhatrapati Shivaji Institute of Technology,chhatrapati shivaji institute of technology,NA,NA
68958158,paris universitas,Paris Universitas,paris universitas,NA,NA
75535952,american university of kuwait,American University of Kuwait,american university of kuwait,NA,NA
79272384,university of maryland baltimore county,"University of Maryland, Baltimore County","university of maryland, baltimore county","University of Maryland, Baltimore County",United States
91807558,national cheng kung university,National Cheng Kung University,national cheng kung university,National Cheng Kung University,Taiwan
95265282,national population and family planning commission,National Population and Family Planning Commission,national population and family planning commission,NA,NA
95990688,birjand university of medical sciences,Birjand University of Medical Sciences,birjand university of medical sciences,NA,NA
96852419,capital normal university,Capital Normal University,capital normal university,Capital Normal University,China
100084298,universidad de mendoza,Universidad de Mendoza,universidad de mendoza,NA,NA
102900740,ethyl corporation,Ethyl Corporation,ethyl corporation,NA,NA
104338594,inje university,Inje University,inje university,Inje University,South Korea
105144291,child poverty action group,Child Poverty Action Group,child poverty action group,NA,NA
