affiliationid;normalizedname;displayname;university_normalized;University;Country;university_normalized_leiden
78166389;geospatial research centre;Geospatial Research Centre;geospatial research centre;;;
78570951;monash university clayton campus;Monash University, Clayton campus;monash university, clayton campus;;;
82034984;bombay natural history society;Bombay Natural History Society;bombay natural history society;;;
82475049;suranaree university of technology;Suranaree University of Technology;suranaree university of technology;;;
94624287;university of twente;University of Twente;university of twente;University of Twente;Netherlands;
94776409;oita university of nursing and health sciences;Oita University of Nursing and Health Sciences;oita university of nursing and health sciences;;;
105869082;aiken technical college;Aiken Technical College;aiken technical college;;;
114778606;city college international faculty of the university of sheffield;CITY College, International Faculty of the University of Sheffield;city college, international faculty of the university of sheffield;;;
115503518;netherlands institute for innovative ocular surgery;Netherlands Institute for Innovative Ocular Surgery;netherlands institute for innovative ocular surgery;;;
122274158;dalarna university;Dalarna University;dalarna university;;;
123723566;government college ajmer;Government College, Ajmer;government college, ajmer;;;
124718575;scottsdale community college;Scottsdale Community College;scottsdale community college;;;
129192303;universidade federal do reconcavo da bahia;Universidade Federal do Recôncavo da Bahia;universidade federal do reconcavo da bahia;;;
131359167;le quy don technical university;Le Quy Don Technical University;le quy don technical university;;;
134446601;berkeley college;Berkeley College;berkeley college;;;
138900291;nipissing university;Nipissing University;nipissing university;;;
143003537;bizzdesign;BiZZdesign;bizzdesign;;;
159595087;greek atomic energy commission;Greek Atomic Energy Commission;greek atomic energy commission;;;
167383011;henan university of science and technology;Henan University of Science and Technology;henan university of science and technology;Henan University of Science and Technology;China;
172982924;university college of medical sciences;University College of Medical Sciences;university college of medical sciences;;;
174104030;taiyuan normal university;Taiyuan Normal University;taiyuan normal university;;;
176037994;erzincan university;Erzincan University;erzincan university;;;
179193067;khon kaen university;Khon Kaen University;khon kaen university;Khon Kaen University;Thailand;
186506485;hyundai heavy industries;Hyundai Heavy Industries;hyundai heavy industries;;;
186555701;new york city department of education;New York City Department of Education;new york city department of education;;;
188592606;hamilton college;Hamilton College;hamilton college;;;
191031818;hamilton eye institute;Hamilton Eye Institute;hamilton eye institute;;;
203061107;wuhan vocational college of software and engineering;Wuhan Vocational College of Software and Engineering;wuhan vocational college of software and engineering;;;
206040828;sher i kashmir institute of medical sciences;Sher-I-Kashmir Institute of Medical Sciences;sher-i-kashmir institute of medical sciences;;;
246634084;american cast iron pipe company;American Cast Iron Pipe Company;american cast iron pipe company;;;
280512119;hamchoon women s clinic;Hamchoon Women's Clinic;hamchoon women's clinic;;;
315070680;university college of northern denmark;University College of Northern Denmark;university college of northern denmark;;;
317772143;university of bohol;University of Bohol;university of bohol;;;
320671016;patient centered outcomes research institute;Patient-Centered Outcomes Research Institute;patient-centered outcomes research institute;;;
325960478;booth university college;Booth University College;booth university college;;;
856841777;franco tosi meccanica;Franco Tosi Meccanica;franco tosi meccanica;;;
864441908;weimar institute;Weimar Institute;weimar institute;;;
891521709;daimler ag;Daimler AG;daimler ag;;;
901401019;waste management inc;Waste Management, Inc;waste management, inc;;;
902671590;auburn university at montgomery;Auburn University at Montgomery;auburn university at montgomery;;;
931114974;second amendment foundation;Second Amendment Foundation;second amendment foundation;;;
1282502352;new zealand treasury;New Zealand Treasury;new zealand treasury;;;
1284033809;the seoul institute;The Seoul Institute;the seoul institute;;;
1288595188;museo nacional centro de arte reina sofia;Museo Nacional Centro de Arte Reina Sofía;museo nacional centro de arte reina sofia;;;
1288835491;milford regional medical center;Milford Regional Medical Center;milford regional medical center;;;
1289568071;san antonio military medical center;San Antonio Military Medical Center;san antonio military medical center;;;
1299951241;caterpillar inc;Caterpillar Inc.;caterpillar inc.;;;
1301076528;city of hope national medical center;City of Hope National Medical Center;city of hope national medical center;;;
1306642263;volkswagen;Volkswagen;volkswagen;;;
1308548392;santa fe institute;Santa Fe Institute;santa fe institute;;;
1311361839;agustawestland;AgustaWestland;agustawestland;;;
1316592999;swissair;Swissair;swissair;;;
1319529052;colorado department of health care policy and financing;Colorado Department of Health Care Policy and Financing;colorado department of health care policy and financing;;;
1319815248;statistics canada;Statistics Canada;statistics canada;;;
1320397708;benaroya research institute;Benaroya Research Institute;benaroya research institute;;;
2799490239;royal institute of navigation;Royal Institute of Navigation;royal institute of navigation;;;
2799646508;cedar valley college;Cedar Valley College;cedar valley college;;;
2799717493;pomerado hospital;Pomerado Hospital;pomerado hospital;;;
2800214375;tca college;TCA College;tca college;;;
2800371562;societa italiana di fisica;Società Italiana di Fisica;societa italiana di fisica;;;
2800533080;health protection scotland;Health Protection Scotland;health protection scotland;;;
2800768525;university of bojnord;University of Bojnord;university of bojnord;;;
2800914409;wisconsin department of workforce development;Wisconsin Department of Workforce Development;wisconsin department of workforce development;;;
2800984189;indus hospital;Indus Hospital;indus hospital;;;
2801035655;north american university;North American University;north american university;;;
2801036362;agency for defense development;Agency for Defense Development;agency for defense development;;;
2801047287;indian council of social science research;Indian Council of Social Science Research;indian council of social science research;;;
2801477076;christianity today;Christianity Today;christianity today;;;
2801608483;schoolcraft college;Schoolcraft College;schoolcraft college;;;
2801792357;williston state college;Williston State College;williston state college;;;
2801909924;paris junior college;Paris Junior College;paris junior college;;;
2802009739;vanguard healthcare;Vanguard Healthcare;vanguard healthcare;;;
2802067006;research foundation flanders;Research Foundation - Flanders;research foundation - flanders;;;
2802074625;bridgeport hospital;Bridgeport Hospital;bridgeport hospital;;;
2802230104;edward hines jr va hospital;Edward Hines, Jr. VA Hospital;edward hines, jr. va hospital;;;
2802381139;wilkes community college;Wilkes Community College;wilkes community college;;;
2802536167;beijing film academy;Beijing Film Academy;beijing film academy;;;
2802547023;rose medical center;Rose Medical Center;rose medical center;;;
2802552484;tribeca film institute;Tribeca Film Institute;tribeca film institute;;;
2802998059;north shore community college;North Shore Community College;north shore community college;;;
2803035300;tallaght hospital;Tallaght Hospital;tallaght hospital;;;
2803053305;korle bu teaching hospital;Korle Bu Teaching Hospital;korle bu teaching hospital;;;
2803461128;central lakes college;Central Lakes College;central lakes college;;;
2916638547;austro control austria;Austro Control (Austria);austro control (austria);;;
1268775;facultad de ciencias medicas;Facultad de Ciencias Médicas;facultad de ciencias medicas;;;
3750198;management systems international;Management Systems International;management systems international;;;
13779751;admiral makarov national university of shipbuilding;Admiral Makarov National University of Shipbuilding;admiral makarov national university of shipbuilding;;;
16835326;university of st andrews;University of St Andrews;university of st andrews;University of St Andrews;United Kingdom;
24871856;universidade catolica de brasilia;Universidade Católica de Brasília;universidade catolica de brasilia;;;
38901089;daeduk college;Daeduk College;daeduk college;;;
41810378;college of southern idaho;College of Southern Idaho;college of southern idaho;;;
43638361;federal reserve bank of new york;Federal Reserve Bank of New York;federal reserve bank of new york;;;
48018076;christ university;Christ University;christ university;;;
48663246;anglo american plc;Anglo American plc;anglo american plc;;;
49068896;assam down town university;Assam Down Town University;assam down town university;;;
52010207;keimyung university;Keimyung University;keimyung university;Keimyung University;South Korea;
59081768;gorno altaisk state university;Gorno-Altaisk State University;gorno-altaisk state university;;;
60138030;desert research institute;Desert Research Institute;desert research institute;;;
76259142;national research institute of police science;National Research Institute of Police Science;national research institute of police science;;;
77079311;wonkwang university;Wonkwang University;wonkwang university;;;
83416321;new york university institute of fine arts;New York University Institute of Fine Arts;new york university institute of fine arts;;;
88100897;yokogawa electric;Yokogawa Electric;yokogawa electric;;;
91203450;university of haifa;University of Haifa;university of haifa;University of Haifa;Israel;
92688161;acadia university;Acadia University;acadia university;;;
98965574;penn state harrisburg;Penn State Harrisburg;penn state harrisburg;;;
99601430;west bengal university of technology;West Bengal University of Technology;west bengal university of technology;;;
118768305;kyushu institute of information sciences;Kyushu Institute of Information Sciences;kyushu institute of information sciences;;;
119942576;university of the pacific;University of the Pacific (United States);university of the pacific (united states);;;
120043899;meiji gakuin university;Meiji Gakuin University;meiji gakuin university;;;
123544518;asrc aerospace corporation;ASRC Aerospace Corporation;asrc aerospace corporation;;;
130416959;central research institute of electric power industry;Central Research Institute of Electric Power Industry;central research institute of electric power industry;;;
130785548;clark university;Clark University;clark university;;;
132140153;paragon space development corporation;Paragon Space Development Corporation;paragon space development corporation;;;
137056471;nanjing university of finance and economics;Nanjing University of Finance and Economics;nanjing university of finance and economics;;;
137479271;helmholtz centre for environmental research ufz;Helmholtz Centre for Environmental Research - UFZ;helmholtz centre for environmental research - ufz;;;
140963716;lukoil;Lukoil;lukoil;;;
149251103;thomas jefferson university;Thomas Jefferson University;thomas jefferson university;Thomas Jefferson University;United States;
157543744;royal college of surgeons of edinburgh;Royal College of Surgeons of Edinburgh;royal college of surgeons of edinburgh;;;
157637111;naval academy;Naval Academy;naval academy;;;
160419504;higher technological institute;Higher Technological Institute;higher technological institute;;;
161052086;canada mortgage and housing corporation;Canada Mortgage and Housing Corporation;canada mortgage and housing corporation;;;
162347362;higher school of communication of tunis;Higher School of Communication of Tunis;higher school of communication of tunis;;;
163584902;daegu health college;Daegu Health College;daegu health college;;;
165891364;ufuk university;Ufuk University;ufuk university;;;
166455938;university of babylon;University of Babylon;university of babylon;;;
171589843;jda software;JDA Software;jda software;;;
173712418;ahmednagar college;Ahmednagar College;ahmednagar college;;;
184490438;chinese center for disease control and prevention;Chinese Center for Disease Control and Prevention;chinese center for disease control and prevention;;;
185177349;casio;Casio;casio;;;
185492890;university of canterbury;University of Canterbury;university of canterbury;University of Canterbury;New Zealand;
187169597;pinnacle financial partners;Pinnacle Financial Partners;pinnacle financial partners;;;
190774190;mongolian state university of agriculture;Mongolian State University of Agriculture;mongolian state university of agriculture;;;
193659739;ciber;Ciber;ciber;;;
198035368;tokyo jogakkan college;Tokyo Jogakkan College;tokyo jogakkan college;;;
203339264;university of lyon;University of Lyon;university of lyon;;;
204085392;cabrini college;Cabrini College;cabrini college;;;
205889620;international centre for diarrhoeal disease research bangladesh;International Centre for Diarrhoeal Disease Research, Bangladesh;international centre for diarrhoeal disease research, bangladesh;;;
222992751;american board of plastic surgery;American Board of Plastic Surgery;american board of plastic surgery;;;
278735395;poltava national technical university;Poltava National Technical University;poltava national technical university;;;
317021637;jinnah medical and dental college;Jinnah Medical and Dental College;jinnah medical and dental college;;;
327630597;al automotive lighting;AL-Automotive Lighting;al-automotive lighting;;;
343094587;australasian wader studies group;Australasian Wader Studies Group;australasian wader studies group;;;
888185325;freescale semiconductor;Freescale Semiconductor;freescale semiconductor;;;
904664718;microunity;MicroUnity;microunity;;;
906608882;st xavier s college;St. Xavier's College;st. xavier's college;;;
910166787;international military sports council;International Military Sports Council;international military sports council;;;
917324061;marian university;Marian University;marian university;;;
930713850;the hague university of applied sciences;The Hague University of Applied Sciences;the hague university of applied sciences;;;
1286192518;museum of northern arizona;Museum of Northern Arizona;museum of northern arizona;;;
1286604053;advocate sherman hospital;Advocate Sherman Hospital;advocate sherman hospital;;;
1295636932;society of actuaries;Society of Actuaries;society of actuaries;;;
1295703814;world vision international;World Vision International;world vision international;;;
1305001552;grady memorial hospital;Grady Memorial Hospital;grady memorial hospital;;;
1308921624;thinkyoung;ThinkYoung;thinkyoung;;;
1315109972;federal ministry of defence germany;Federal Ministry of Defence (Germany);federal ministry of defence (germany);;;
1318356501;conservation strategy fund;Conservation Strategy Fund;conservation strategy fund;;;
1318430499;tata elxsi;Tata Elxsi;tata elxsi;;;
1325940612;building design partnership;Building Design Partnership;building design partnership;;;
1328969757;naval sea systems command;Naval Sea Systems Command;naval sea systems command;;;
1343578489;bureau of aeronautics;Bureau of Aeronautics;bureau of aeronautics;;;
2799281333;amputee coalition of america;Amputee Coalition of America;amputee coalition of america;;;
2799321569;tianjin conservatory of music;Tianjin Conservatory of Music;tianjin conservatory of music;;;
2799499277;enterprise community partners;Enterprise Community Partners;enterprise community partners;;;
2799524160;alaska institute for justice;Alaska Institute for Justice;alaska institute for justice;;;
2799535048;centre national d etudes spatiales;Centre National D'Etudes Spatiales;centre national d'etudes spatiales;;;
2799922383;geophysical survey;Geophysical Survey;geophysical survey;;;
2800302175;kyiv mohyla business school;Kyiv Mohyla Business School;kyiv mohyla business school;;;
2800351650;joyce foundation;Joyce Foundation;joyce foundation;;;
2800625510;birmingham accident hospital;Birmingham Accident Hospital;birmingham accident hospital;;;
2800697506;european institute of innovation and technology;European Institute of Innovation and Technology;european institute of innovation and technology;;;
2801039233;yarmouk private university;Yarmouk Private University;yarmouk private university;;;
2801054358;carroll hospital;Carroll Hospital;carroll hospital;;;
2801154069;maine state museum;Maine State Museum;maine state museum;;;
2801488757;south ukrainian national pedagogical university named after k d ushynsky;South Ukrainian National Pedagogical University named after K. D. Ushynsky;south ukrainian national pedagogical university named after k. d. ushynsky;;;
2801557146;goodenough college;Goodenough College;goodenough college;;;
2801716253;swedish academy;Swedish Academy;swedish academy;;;
2801754460;general university hospital of patras;General University Hospital of Patras;general university hospital of patras;;;
2801841055;eurasia foundation;Eurasia Foundation;eurasia foundation;;;
2801888874;diocese of brooklyn;Diocese of Brooklyn;diocese of brooklyn;;;
2801942171;panti rapih hospital;Panti Rapih Hospital;panti rapih hospital;;;
2802264141;association of state and territorial health officials;Association of State and Territorial Health Officials;association of state and territorial health officials;;;
2802431589;concordia hospital;Concordia Hospital;concordia hospital;;;
2802600346;hudson institute of medical research;Hudson Institute of Medical Research;hudson institute of medical research;;;
2921128667;bemis center for contemporary arts;Bemis Center for Contemporary Arts;bemis center for contemporary arts;;;
9057330;kennedy king college;Kennedy–King College;kennedy-king college;;;
9340077;national atomic energy commission;National Atomic Energy Commission;national atomic energy commission;;;
14044430;institut de recherche robert sauve en sante et en securite du travail;Institut de recherche Robert-Sauvé en santé et en sécurité du travail;institut de recherche robert-sauve en sante et en securite du travail;;;
16277215;university of houston downtown;University of Houston–Downtown;university of houston-downtown;;;
16569854;nayoro city university;Nayoro City University;nayoro city university;;;
21867089;gwynedd mercy university;Gwynedd Mercy University;gwynedd mercy university;;;
29801172;thomas jefferson national accelerator facility;Thomas Jefferson National Accelerator Facility;thomas jefferson national accelerator facility;;;
36098394;rush medical college;Rush Medical College;rush medical college;;;
36282894;chandler gilbert community college;Chandler–Gilbert Community College;chandler-gilbert community college;;;
50627504;istanbul arel university;Istanbul Arel University;istanbul arel university;;;
55202024;uthman dan fodiyo university;Uthman dan Fodiyo University;uthman dan fodiyo university;;;
56435720;paris dauphine university;Paris Dauphine University;paris dauphine university;;;
56858762;universidad nacional del sur;Universidad Nacional del Sur;universidad nacional del sur;;;
59655833;matej bel university;Matej Bel University;matej bel university;;;
67439152;southwest college of naturopathic medicine;Southwest College of Naturopathic Medicine;southwest college of naturopathic medicine;;;
74885063;sharda university;Sharda University;sharda university;;;
79731167;hainan medical university;Hainan Medical University;hainan medical university;;;
87162975;mips technologies;MIPS Technologies;mips technologies;;;
90257968;johnson county community college;Johnson County Community College;johnson county community college;;;
92446798;colorado state university;Colorado State University;colorado state university;Colorado State University;United States;
92777862;center for international forestry research;Center for International Forestry Research;center for international forestry research;;;
94777655;icap;ICAP;icap;;;
96036126;kumamoto university;Kumamoto University;kumamoto university;Kumamoto University;Japan;
102808428;tbilisi state university;Tbilisi State University;tbilisi state university;;;
106959904;florida institute of technology;Florida Institute of Technology;florida institute of technology;;;
113598218;university of aconcagua;University of Aconcagua;university of aconcagua;;;
114202661;petra christian university;Petra Christian University;petra christian university;;;
118019719;hoffmann la roche;Hoffmann-La Roche;hoffmann-la roche;;;
119900292;tac;TAC;tac;;;
122380217;technological educational institute of piraeus;Technological Educational Institute of Piraeus;technological educational institute of piraeus;;;
126395964;katholieke hogeschool kempen;Katholieke Hogeschool Kempen;katholieke hogeschool kempen;;;
130019264;dinabandhu andrews college;Dinabandhu Andrews College;dinabandhu andrews college;;;
133937715;st norbert college;St. Norbert College;st. norbert college;;;
146500386;jichi medical university;Jichi Medical University;jichi medical university;Jichi Medical University;Japan;
155140966;university for peace;University for Peace;university for peace;;;
160994706;odense university;Odense University;odense university;;;
162282272;rohm;Rohm;rohm;;;
170733385;university of applied science and technology;University of Applied Science and Technology;university of applied science and technology;;;
177713078;raytheon space and airborne systems;Raytheon Space and Airborne Systems;raytheon space and airborne systems;;;
178232147;guizhou university;Guizhou University;guizhou university;Guizhou University;China;
178835972;ecole nationale superieure agronomique de rennes;École nationale supérieure agronomique de Rennes;ecole nationale superieure agronomique de rennes;;;
180144235;national oceanography centre southampton;National Oceanography Centre, Southampton;national oceanography centre, southampton;;;
180217721;monash university gippsland campus;Monash University, Gippsland campus;monash university, gippsland campus;;;
185986306;santa cruz institute for particle physics;Santa Cruz Institute for Particle Physics;santa cruz institute for particle physics;;;
193427800;applied materials;Applied Materials;applied materials;;;
206046566;vicroads;VicRoads;vicroads;;;
235627473;bard college berlin;Bard College Berlin;bard college berlin;;;
238804600;fieldfisher;Fieldfisher;fieldfisher;;;
242057862;central mindanao university;Central Mindanao University;central mindanao university;;;
250757736;baranov central institute of aviation motor development;Baranov Central Institute of Aviation Motor Development;baranov central institute of aviation motor development;;;
252342272;edward waters college;Edward Waters College;edward waters college;;;
256936806;ncs pte ltd;NCS Pte Ltd;ncs pte ltd;;;
267427436;saigon technology university;Saigon Technology University;saigon technology university;;;
323728249;us sugar corporation;US Sugar Corporation;us sugar corporation;;;
636689937;jacos;JACOS;jacos;;;
866444859;indraprastha gas;Indraprastha Gas;indraprastha gas;;;
866755123;dharmacon inc;Dharmacon, Inc.;dharmacon, inc.;;;
879563668;sao paulo state university;Sao Paulo State University;sao paulo state university;;;
880331042;exelis inc;Exelis Inc.;exelis inc.;;;
886634589;government arts college coimbatore;Government Arts College, Coimbatore;government arts college, coimbatore;;;
888069255;west visayas state university;West Visayas State University;west visayas state university;;;
890313921;indiana black expo;Indiana Black Expo;indiana black expo;;;
919628346;university of the pacific;University of the Pacific (Peru);university of the pacific (peru);;;
930026050;china steel;China Steel;china steel;;;
1282493450;saint thomas west hospital;Saint Thomas - West Hospital;saint thomas - west hospital;;;
1288403368;the rodale institute;The Rodale Institute;the rodale institute;;;
1291346424;g b pant engineering college new delhi;G. B. Pant Engineering College, New Delhi;g. b. pant engineering college, new delhi;;;
1300562367;forensic science service;Forensic Science Service;forensic science service;;;
1308627702;covenant house;Covenant House;covenant house;;;
1308673974;american motors;American Motors;american motors;;;
1311537691;northrop corporation;Northrop Corporation;northrop corporation;;;
1315288073;cliniques universitaires saint luc;Cliniques Universitaires Saint-Luc;cliniques universitaires saint-luc;;;
1315456113;vinh university;Vinh University;vinh university;;;
1326324860;north carolina museum of natural sciences;North Carolina Museum of Natural Sciences;north carolina museum of natural sciences;;;
1337719021;australian research council;Australian Research Council;australian research council;;;
1340088252;resurrection health care;Resurrection Health Care;resurrection health care;;;
2609998029;national radio astronomy observatory;National Radio Astronomy Observatory;national radio astronomy observatory;;;
2799589203;malaysian rubber board;Malaysian Rubber Board;malaysian rubber board;;;
2799614505;university of perpetual help system dalta;University of Perpetual Help System DALTA;university of perpetual help system dalta;;;
2799854417;holy cross hospital;Holy Cross Hospital;holy cross hospital;;;
2799856468;cincinnati christian university;Cincinnati Christian University;cincinnati christian university;;;
2799883749;da nang hospital;Da Nang Hospital;da nang hospital;;;
2799997674;scottish storytelling centre;Scottish Storytelling Centre;scottish storytelling centre;;;
2800197190;rhode island historical society;Rhode Island Historical Society;rhode island historical society;;;
2800330944;presbyterian historical society;Presbyterian Historical Society;presbyterian historical society;;;
2800456026;johns hopkins center for communication programs;Johns Hopkins Center for Communication Programs;johns hopkins center for communication programs;;;
2800624546;martin college;Martin College;martin college;;;
2800970080;providence milwaukie hospital;Providence Milwaukie Hospital;providence milwaukie hospital;;;
2801022039;canadian wheelchair sports association;Canadian Wheelchair Sports Association;canadian wheelchair sports association;;;
2801053747;australian institute of tropical health and medicine;Australian Institute of Tropical Health and Medicine;australian institute of tropical health and medicine;;;
2801059880;muscatine community college;Muscatine Community College;muscatine community college;;;
2801079582;w f albright institute of archaeological research;W. F. Albright Institute of Archaeological Research;w. f. albright institute of archaeological research;;;
2801202614;swiss national museum;Swiss National Museum;swiss national museum;;;
2801244630;palomar health;Palomar Health;palomar health;;;
2801583272;oxford educational institutions;Oxford Educational Institutions;oxford educational institutions;;;
2801930534;saint katherine college;Saint Katherine College;saint katherine college;;;
2802054198;erasmus hospital;Erasmus Hospital;erasmus hospital;;;
2802151907;vale of leven district general hospital;Vale of Leven District General Hospital;vale of leven district general hospital;;;
2802201010;atomic weapons establishment;Atomic Weapons Establishment;atomic weapons establishment;;;
2802239656;markey cancer center;Markey Cancer Center;markey cancer center;;;
2802478169;robert jones and agnes hunt orthopaedic hospital;Robert Jones and Agnes Hunt Orthopaedic Hospital;robert jones and agnes hunt orthopaedic hospital;;;
2802733791;schenectady county community college;Schenectady County Community College;schenectady county community college;;;
2802796885;share our strength;Share Our Strength;share our strength;;;
2837311904;lincoln college of new england;Lincoln College of New England;lincoln college of new england;;;
2990669260;shaikh zayed medical college and hospital;Shaikh Zayed Medical College and Hospital;shaikh zayed medical college and hospital;;;
18524911;instituto tecnologico de merida;Instituto Tecnológico de Mérida;instituto tecnologico de merida;;;
19545898;international crisis group;International Crisis Group;international crisis group;;;
20231570;peking university;Peking University;peking university;Peking University;China;
22351308;bidhannagar college;Bidhannagar College;bidhannagar college;;;
23968078;university of puerto rico at humacao;University of Puerto Rico at Humacao;university of puerto rico at humacao;;;
37271104;public service enterprise group;Public Service Enterprise Group;public service enterprise group;;;
45812101;belarusian national technical university;Belarusian National Technical University;belarusian national technical university;;;
47234332;garnett college;Garnett College;garnett college;;;
49512050;anadigics;ANADIGICS;anadigics;;;
50760025;hangzhou dianzi university;Hangzhou Dianzi University;hangzhou dianzi university;Hangzhou Dianzi University;China;
56753173;bifrost university;Bifröst University;bifrost university;;;
63568130;sant longowal institute of engineering and technology;Sant Longowal Institute of Engineering and Technology;sant longowal institute of engineering and technology;;;
66217453;cadence design systems;Cadence Design Systems;cadence design systems;;;
67916730;st xavier s college autonomous mumbai;St. Xavier's College-Autonomous, Mumbai;st. xavier's college-autonomous, mumbai;;;
68278413;brooks automation inc;Brooks Automation, Inc.;brooks automation, inc.;;;
69072986;university of mauritius;University of Mauritius;university of mauritius;;;
81046878;russell investments;Russell Investments;russell investments;;;
81244454;bapatla engineering college;Bapatla Engineering College;bapatla engineering college;;;
83467386;it university of copenhagen;IT University of Copenhagen;it university of copenhagen;;;
83740829;school of visual arts;School of Visual Arts;school of visual arts;;;
87162078;the institute for clinical social work;The Institute for Clinical Social Work;the institute for clinical social work;;;
90281761;national aviation university;National Aviation University;national aviation university;;;
90389495;jerini;Jerini;jerini;;;
92178344;anhui university of technology;Anhui University of Technology;anhui university of technology;;;
99565096;translational centre for regenerative medicine;Translational Centre for Regenerative Medicine;translational centre for regenerative medicine;;;
99942243;kumaraguru college of technology;Kumaraguru College of Technology;kumaraguru college of technology;;;
104817121;university of sarajevo;University of Sarajevo;university of sarajevo;;;
108247248;brookdale community college;Brookdale Community College;brookdale community college;;;
111058918;calcutta national medical college;Calcutta National Medical College;calcutta national medical college;;;
111567634;the state university of management;The State University of Management;the state university of management;;;
114539325;american electric power;American Electric Power;american electric power;;;
119233137;nicolaus copernicus university in torun;Nicolaus Copernicus University in Toruń;nicolaus copernicus university in torun;Nicolaus Copernicus University in Toruń;Poland;
125004968;concordia senior college;Concordia Senior College;concordia senior college;;;
125059912;antioch university santa barbara;Antioch University Santa Barbara;antioch university santa barbara;;;
125861091;help university;HELP University;help university;;;
136176000;prtm;PRTM;prtm;;;
141534154;woodbridge foam;Woodbridge Foam;woodbridge foam;;;
149213910;university of antwerp;University of Antwerp;university of antwerp;University of Antwerp;Belgium;
150517870;royal military academy;Royal Military Academy;royal military academy;;;
154840374;muhimbili university of health and allied sciences;Muhimbili University of Health and Allied Sciences;muhimbili university of health and allied sciences;;;
157349981;state university of new york college of environmental science and forestry;State University of New York College of Environmental Science and Forestry;state university of new york college of environmental science and forestry;;;
168161088;american educational research association;American Educational Research Association;american educational research association;;;
169060526;campaign for access to essential medicines;Campaign for Access to Essential Medicines;campaign for access to essential medicines;;;
169078443;kilpauk medical college;Kilpauk Medical College;kilpauk medical college;;;
170486157;mta sztaki laboratory of parallel and distributed systems;MTA SZTAKI Laboratory of Parallel and Distributed Systems;mta sztaki laboratory of parallel and distributed systems;;;
177463362;university of west london;University of West London;university of west london;;;
178906410;lyon college;Lyon College;lyon college;;;
181730359;northrop grumman ship systems;Northrop Grumman Ship Systems;northrop grumman ship systems;;;
184906618;texas southmost college;Texas Southmost College;texas southmost college;;;
190570697;bundelkhand university;Bundelkhand University;bundelkhand university;;;
193484058;laureate international universities;Laureate International Universities;laureate international universities;;;
205992003;pontifical college josephinum;Pontifical College Josephinum;pontifical college josephinum;;;
234932087;ramakrishna mission vivekananda centenary college;Ramakrishna Mission Vivekananda Centenary College;ramakrishna mission vivekananda centenary college;;;
245417339;vodafone germany;Vodafone Germany;vodafone germany;;;
271674635;institute of food technologists;Institute of Food Technologists;institute of food technologists;;;
271888150;sriwijaya university;Sriwijaya University;sriwijaya university;;;
336795079;colaiste mhuire;Coláiste Mhuire;colaiste mhuire;;;
349888338;mcculloch motors corporation;McCulloch Motors Corporation;mcculloch motors corporation;;;
866585662;new zealand public service association;New Zealand Public Service Association;new zealand public service association;;;
872799757;valencia college;Valencia College;valencia college;;;
882627180;ras al khaimah medical and health sciences university;Ras al-Khaimah Medical and Health Sciences University;ras al-khaimah medical and health sciences university;;;
905000135;college of the bahamas;College of The Bahamas;college of the bahamas;;;
929597975;national university of sciences and technology;National University of Sciences and Technology;national university of sciences and technology;;;
1279916624;westminster john knox;Westminster John Knox;westminster john knox;;;
1282233841;lucid inc;Lucid Inc.;lucid inc.;;;
1283247047;the research institute at nationwide children s hospital;The Research Institute at Nationwide Children's Hospital;the research institute at nationwide children's hospital;;;
1284584826;social science research council;Social Science Research Council;social science research council;;;
1290998266;the mill;The Mill;the mill;;;
1303069342;american institute for economic research;American Institute for Economic Research;american institute for economic research;;;
1303153112;european bioinformatics institute;European Bioinformatics Institute;european bioinformatics institute;;;
1303391909;institute of education sciences;Institute of Education Sciences;institute of education sciences;;;
1307946715;nhs blood and transplant;NHS Blood and Transplant;nhs blood and transplant;;;
1308199089;harbin university;Harbin University;harbin university;;;
1321159817;if p c insurance;If P&C Insurance;if p&c insurance;;;
1323093577;bml munjal university;BML Munjal University;bml munjal university;;;
1328150826;invincea;Invincea;invincea;;;
1334877674;tsmc;TSMC;tsmc;;;
1336679592;dutch ministry of transport and water management;Dutch Ministry of Transport and Water Management;dutch ministry of transport and water management;;;
2799417885;paoli hospital;Paoli Hospital;paoli hospital;;;
2799640484;melrose wakefield hospital;Melrose-Wakefield Hospital;melrose-wakefield hospital;;;
2799674035;western texas college;Western Texas College;western texas college;;;
2799698780;australian dental association;Australian Dental Association;australian dental association;;;
2799851941;royal hospital for women;Royal Hospital for Women;royal hospital for women;;;
2799957102;european geosciences union;European Geosciences Union;european geosciences union;;;
2799959951;chulabhorn graduate institute;Chulabhorn Graduate Institute;chulabhorn graduate institute;;;
2799987236;jaffna teaching hospital;Jaffna Teaching Hospital;jaffna teaching hospital;;;
2800199052;columbia gorge community college;Columbia Gorge Community College;columbia gorge community college;;;
2800235449;amberton university;Amberton University;amberton university;;;
2800285558;nashville public library;Nashville Public Library;nashville public library;;;
2800297018;christian michelsen institute;Christian Michelsen Institute;christian michelsen institute;;;
2800349460;geochemical society;Geochemical Society;geochemical society;;;
2800637067;center for nutrition policy and promotion;Center for Nutrition Policy and Promotion;center for nutrition policy and promotion;;;
2800756461;technical college system of georgia;Technical College System of Georgia;technical college system of georgia;;;
2800774789;chamber of commerce and industry of romania;Chamber of Commerce and Industry of Romania;chamber of commerce and industry of romania;;;
2801020883;california coast university;California Coast University;california coast university;;;
2801304887;mcwane science center;McWane Science Center;mcwane science center;;;
