University;Country;university_normalized;matched;
Postgraduate Institute of Medical Education & Research;India;postgraduate institute of medical education & research;TRUE;
Poznań University of Life Sciences;Poland;poznan university of life sciences;TRUE;
Purdue University, West Lafayette;United States;purdue university, west lafayette;TRUE;
Qingdao University of Science & Technology;China;qingdao university of science & technology;TRUE;
Radboud University;Netherlands;radboud university;TRUE;
Rey Juan Carlos University;Spain;rey juan carlos university;TRUE;
Ruhr-Universität Bochum;Germany;ruhr-universitat bochum;TRUE;
Rutgers, The State University of New Jersey;United States;rutgers, the state university of new jersey;TRUE;
Samsun Ondokuz Mayis University;Turkey;samsun ondokuz mayis university;TRUE;
Shaanxi University of Science & Technology;China;shaanxi university of science & technology;TRUE;
Shahid Beheshti University of Medical Sciences;Iran;shahid beheshti university of medical sciences;TRUE;
Shahid Chamran University of Ahwaz;Iran;shahid chamran university of ahwaz;TRUE;
Shanghai University of Traditional Chinese Medicine;China;shanghai university of traditional chinese medicine;FALSE;
Shiraz University of Medical Science;Iran;shiraz university of medical science;TRUE;
Soochow University;China;soochow university;TRUE;
Sorbonne University;France;sorbonne university;TRUE;"this was tricky to match, there are many universities in Paris, some of which are called ""sorbonne"""
Southern Illinois University, Carbondale;United States;southern illinois university, carbondale;TRUE;
Southern University of Science and Technology;China;southern university of science and technology;FALSE;this institution appears somehow in the web interface but does not seem to be a recognized affiliation (in terms of having a separate page)
SRM Institute of Science and Technology;India;srm institute of science and technology;TRUE;
St Louis University;United States;st louis university;TRUE;
State University of Maringá;Brazil;state university of maringa;TRUE;
Stony Brook University, The State University of New York;United States;stony brook university, the state university of new york;TRUE;
Tabriz University of Medical Sciences (TUOMS);Iran;tabriz university of medical sciences (tuoms);TRUE;
Technical University of Munich;Germany;technical university of munich;TRUE;
Technion, Israel Institute of Technology;Israel;technion, israel institute of technology;TRUE;
Technische Universität Bergakademie Freiberg;Germany;technische universitat bergakademie freiberg;TRUE;
Technische Universität Berlin;Germany;technische universitat berlin;TRUE;
Technische Universität Braunschweig;Germany;technische universitat braunschweig;TRUE;
Technische Universität Dresden;Germany;technische universitat dresden;TRUE;
Technische Universität Kaiserslautern;Germany;technische universitat kaiserslautern;TRUE;
Texas A&M University, College Station;United States;texas a&m university, college station;TRUE;
Thapar Institute of Engineering and Technology;India;thapar institute of engineering and technology;TRUE;
The Graduate Center, City University of New York;United States;the graduate center, city university of new york;TRUE;
The Hebrew University of Jerusalem;Israel;the hebrew university of jerusalem;TRUE;
The Open University;United Kingdom;the open university;TRUE;
The University of Edinburgh;United Kingdom;the university of edinburgh;TRUE;
The University of Manchester;United Kingdom;the university of manchester;TRUE;
The University of Sheffield;United Kingdom;the university of sheffield;TRUE;
The University of Warwick;United Kingdom;the university of warwick;TRUE;
Tokushima University;Japan;tokushima university;TRUE;
Tokyo Women's Medical University;Japan;tokyo women's medical university;FALSE;
Trinity College Dublin, The University of Dublin;Ireland;trinity college dublin, the university of dublin;TRUE;
TU Dortmund University;Germany;tu dortmund university;TRUE;
Ulm University;Germany;ulm university;TRUE;
Universidad Autónoma de Madrid;Spain;universidad autonoma de madrid;TRUE;
Universidad de Concepción;Chile;universidad de concepcion;TRUE;
Universidad de La Laguna;Spain;universidad de la laguna;TRUE;
Universidad de la República;Uruguay;universidad de la republica;TRUE;
Universidad Nacional de Colombia;Colombia;universidad nacional de colombia;TRUE;
Universidad Nacional de La Plata;Argentina;universidad nacional de la plata;TRUE;
Universidade de Brasília;Brazil;universidade de brasilia;TRUE;
Universidade de Lisboa;Portugal;universidade de lisboa;TRUE;
Universidade Estadual Paulista;Brazil;universidade estadual paulista;TRUE;
Universidade Federal da Bahia;Brazil;universidade federal da bahia;TRUE;
Universidade Federal de São Paulo;Brazil;universidade federal de sao paulo;TRUE;
Universidade Federal do Ceará;Brazil;universidade federal do ceara;TRUE;
Universidade Federal do Paraná;Brazil;universidade federal do parana;TRUE;
Universidade Federal do Rio de Janeiro;Brazil;universidade federal do rio de janeiro;TRUE;
Universidade Federal Fluminense;Brazil;universidade federal fluminense;TRUE;
Università Cattolica del Sacro Cuore;Italy;universita cattolica del sacro cuore;TRUE;
Università del Salento;Italy;universita del salento;TRUE;
Università Politecnica delle Marche;Italy;universita politecnica delle marche;TRUE;
Universitat Autònoma de Barcelona;Spain;universitat autonoma de barcelona;TRUE;
Universität Hamburg;Germany;universitat hamburg;TRUE;
Universitat Jaume I;Spain;universitat jaume i;TRUE;
Universitat Politècnica de Catalunya, BarcelonaTech;Spain;universitat politecnica de catalunya, barcelonatech;TRUE;
