,affiliationid,country
324,2801236458,USA
325,2801244630,USA
326,2801587597,DEU
327,2801630795,GBR
328,2801772028,RUS
329,2801816960,USA
330,2801950493,GBR
331,2802050225,ESP
332,2802127907,AUS
333,2802153510,NOR
334,2802357628,TUR
335,2802577520,IND
336,2802887796,USA
337,2802893358,GBR
338,2802951139,DEU
339,2803045619,USA
340,581031,IND
341,7171862,FRA
342,7923278,NLD
343,8778637,IND
344,10572248,SRB
345,16269868,USA
346,19245665,USA
347,21244889,USA
348,21294169,USA
349,31941578,ITA
350,34053993,USA
351,36154649,USA
352,38119467,DNK
353,39107957,PAK
354,39824353,MEX
355,43430990,IND
356,44636411,JPN
357,51057645,CAN
358,60922564,KOR
359,64251745,BGR
360,64519617,VNM
361,65196183,TWN
362,66183117,USA
363,67080503,JPN
364,76119027,VNM
365,78577808,IND
366,86609021,NZL
367,87111246,KOR
368,92008406,NOR
369,92609107,USA
370,97187500,USA
371,101167994,USA
372,104005692,THA
373,105348706,USA
374,110360105,PAK
375,111196505,USA
376,119668213,IND
377,122492136,BGR
378,127271578,USA
379,132769585,UKR
380,134042647,CAN
381,137596753,TWN
382,137918876,IND
383,141988945,USA
384,144917393,MNG
385,147699246,TUR
386,148178115,ROU
387,148258087,USA
388,153297377,
389,153976015,SVN
390,155328522,CHN
391,156934041,GBR
392,160533521,AUS
393,165450437,USA
394,168893459,IND
395,170897317,USA
396,176979517,JPN
397,178613991,TWN
398,182555378,USA
399,185616230,KEN
400,185990448,USA
401,188733180,USA
402,196007969,USA
403,196272386,USA
404,198034347,USA
405,200753234,USA
406,232763632,UKR
407,263913023,SDN
408,272993132,IRL
409,323728249,USA
410,342702707,IND
411,868834043,GBR
412,893718555,USA
413,898934258,JPN
414,911713783,CHL
415,916357946,IND
416,931750010,USA
417,1282770075,USA
418,1286858202,IND
419,1292336021,DEU
420,1307663599,USA
421,1309204697,SWE
422,1311060795,USA
423,1313458441,USA
424,1316248717,USA
425,1326324860,USA
426,1330165540,DEU
427,1331400332,USA
428,1334415907,NLD
429,1335695989,USA
430,1339390676,USA
431,2799316669,CAN
432,2799492276,USA
433,2799546111,DNK
434,2799765569,USA
435,2799771591,USA
436,2799785105,ISL
437,2799877368,SWE
438,2799891827,KOR
439,2800220363,GBR
440,2800396763,DEU
441,2800403580,USA
442,2800426086,GBR
443,2800445823,IND
444,2800520343,USA
445,2800598996,GBR
446,2800639387,EST
447,2800769186,USA
448,2800910329,IND
449,2800996277,USA
450,2801013885,SAU
451,2801230071,USA
452,2801434414,FIN
453,2801888014,USA
454,2802034590,USA
455,2802136459,USA
456,2802155305,ITA
457,2802174948,
458,2802304097,JPN
459,2802330085,GBR
460,2802443542,CAN
461,2802476176,USA
462,2802593591,USA
463,2802740592,USA
464,2802751956,NLD
